0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
2294750	567861	116539	19070	0	0
2318058	542434	114420	23308	8476	2119
2396457	493700	125014	31783	12713	0
2318058	584812	125014	25427	10594	0
2485450	510651	135609	27545	8476	0
2381624	553028	110182	23308	12713	2119
2303226	521245	125014	27545	10594	2119
2152785	533959	110182	21189	8476	0
2354079	531840	125014	25427	2119	0
2443072	563623	129252	33902	14832	0
2315939	529721	139846	31783	12713	0
2390100	538196	82636	14832	2119	0
2383743	567861	171630	33902	10594	0
2354079	517007	105944	23308	6357	2119
2489688	533959	108063	27545	8476	0
2260848	517007	116539	16951	4238	0
2443072	542434	116539	21189	16951	2119
2184568	536077	129252	12713	2119	0
2190925	502175	112301	27545	6357	0
2275680	504294	125014	29664	8476	0
2392219	542434	101706	10594	2119	0
2358317	561504	127133	33902	6357	0
2337128	565742	108063	27545	12713	2119
2279918	553028	133490	33902	4238	2119
2273561	500056	97469	19070	4238	0
2226946	504294	122895	21189	6357	0
2282037	485224	86874	31783	4238	0
2201519	555147	101706	16951	0	0
2335009	523364	116539	16951	8476	0
2258729	531840	86874	16951	10594	2119
2358317	546672	105944	21189	6357	0
2203638	449203	110182	25427	6357	0
2237540	487343	76280	19070	8476	0
2328652	559385	131371	19070	0	0
2318058	483105	88993	4238	0	0
2364673	523364	116539	25427	8476	0
2292631	544553	120776	21189	6357	0
2419764	525483	122895	19070	6357	0
2296869	622952	118657	10594	2119	0
2271443	603882	146203	19070	4238	0
2381624	536077	97469	12713	2119	0
2305345	533959	116539	27545	6357	0
2392219	533959	95350	19070	6357	0
2358317	644140	148322	25427	8476	0
2222708	491581	76280	19070	8476	0
2233303	500056	99588	25427	2119	0
2199401	508532	101706	21189	2119	0
2294750	548791	125014	33902	4238	0
2527827	542434	125014	33902	10594	0
2313820	508532	101706	19070	6357	0
2209995	538196	110182	23308	2119	0
2335009	495819	108063	29664	8476	0
2267205	555147	101706	10594	2119	0
2218471	606001	131371	12713	2119	0
2421883	525483	91112	8476	4238	0
2438834	512770	112301	14832	2119	0
2320177	491581	95350	29664	8476	2119
2284156	548791	125014	23308	6357	4238
2387981	514889	99588	16951	8476	2119
2347722	542434	112301	23308	8476	0
2195163	493700	99588	29664	14832	0
2351960	559385	110182	16951	0	0
2233303	461916	88993	16951	10594	0
2286275	544553	110182	27545	4238	0
2273561	531840	95350	10594	2119	0
2186687	529721	108063	19070	6357	2119
2099813	461916	84755	2119	0	0
2330771	557266	112301	19070	8476	0
2292631	506413	137727	36021	4238	0
2313820	544553	110182	21189	4238	0
2282037	472511	103825	14832	8476	4238
2273561	531840	110182	16951	4238	0
2229065	542434	76280	12713	6357	0
2218471	572098	141965	27545	6357	2119
2387981	497938	139846	29664	12713	0
2127359	483105	88993	21189	10594	0
2324415	517007	74161	12713	2119	0
2432478	574217	129252	31783	6357	0
2426121	582693	118657	12713	6357	0
2267205	540315	122895	21189	6357	0
2220589	497938	82636	10594	4238	0
2262967	540315	120776	19070	2119	0
2387981	538196	101706	21189	8476	2119
2214233	514889	131371	14832	4238	0
2347722	521245	108063	12713	4238	0
2239659	510651	116539	21189	2119	0
2309582	517007	103825	12713	0	0
2250254	504294	108063	25427	10594	2119
2445191	500056	110182	21189	12713	0
2303226	578455	114420	14832	4238	0
2271443	519126	99588	19070	4238	0
2332890	540315	97469	16951	2119	0
2307464	606001	125014	19070	2119	0
2135834	574217	125014	16951	4238	0
2379506	487343	105944	14832	4238	0
2040484	500056	91112	14832	10594	2119
2091338	470392	108063	10594	2119	0
2182449	497938	91112	19070	4238	0
2133715	523364	101706	19070	4238	0
2188806	572098	112301	12713	2119	0
2190925	553028	108063	8476	4238	0
2248135	453441	97469	31783	10594	0
2328652	523364	122895	16951	2119	0
2262967	517007	103825	16951	0	0
2231184	548791	88993	19070	4238	0
2163380	461916	80518	6357	4238	4238
2284156	563623	125014	21189	2119	0
2169736	500056	97469	19070	4238	0
2354079	485224	116539	8476	4238	0
2383743	555147	97469	10594	4238	0
2254492	508532	99588	12713	4238	0
2282037	483105	108063	19070	4238	0
2241778	508532	110182	21189	8476	0
2275680	578455	105944	12713	0	0
2129477	432252	88993	21189	0	0
2356198	533959	86874	23308	6357	0
2407051	510651	84755	16951	2119	0
2282037	536077	91112	23308	6357	0
2326534	497938	112301	21189	10594	0
2254492	519126	82636	14832	4238	0
2171855	508532	91112	14832	6357	2119
2193044	510651	82636	21189	8476	0
2154904	493700	86874	14832	6357	0
2152785	478868	72042	12713	2119	2119
2307464	472511	95350	14832	4238	0
2235422	472511	88993	19070	2119	0
2284156	536077	105944	19070	10594	2119
2216352	500056	82636	19070	0	0
2337128	553028	120776	25427	4238	2119
2207876	497938	97469	14832	4238	0
2205757	500056	57210	8476	6357	0
2284156	553028	86874	12713	6357	2119
2188806	487343	95350	14832	2119	0
2273561	434371	82636	12713	4238	2119
2320177	487343	97469	14832	10594	2119
2229065	438609	76280	6357	0	0
2273561	508532	91112	10594	0	0
2165498	474630	91112	14832	2119	0
2241778	438609	69923	10594	8476	0
2265086	474630	67804	12713	2119	0
2252373	489462	112301	12713	4238	0
2375268	493700	99588	10594	2119	0
2271443	470392	69923	12713	6357	0
2315939	497938	84755	21189	8476	0
2358317	523364	108063	23308	10594	0
2220589	591168	82636	14832	2119	0
2186687	495819	84755	8476	2119	0
2447310	540315	99588	14832	0	0
2260848	468273	72042	8476	2119	0
2176093	474630	78399	8476	0	0
2248135	472511	84755	10594	2119	0
2298988	459798	69923	12713	0	0
2254492	489462	86874	10594	4238	0
2318058	542434	95350	14832	4238	0
2201519	540315	91112	10594	0	0
2116764	514889	95350	10594	2119	0
2127359	444965	74161	4238	2119	0
2097694	468273	82636	14832	0	0
2176093	536077	82636	12713	4238	0
2296869	510651	108063	19070	4238	0
2231184	449203	91112	19070	2119	0
2277799	495819	88993	19070	0	0
2430359	536077	84755	16951	6357	0
2279918	487343	84755	6357	2119	0
2237540	529721	95350	27545	2119	0
2144310	425895	80518	4238	4238	0
2326534	497938	74161	6357	2119	0
2339247	506413	82636	6357	0	0
2123121	468273	67804	6357	0	0
2224827	497938	91112	16951	6357	0
2197282	487343	84755	12713	4238	0
2214233	523364	74161	8476	2119	0
2101932	453441	61448	8476	2119	0
2298988	461916	78399	14832	6357	0
2311701	464035	59329	14832	4238	0
2218471	491581	76280	21189	6357	2119
2154904	468273	46615	2119	0	0
2190925	493700	86874	12713	6357	4238
2097694	495819	84755	8476	0	0
2241778	453441	78399	6357	0	0
2239659	493700	72042	10594	6357	0
2154904	455560	61448	10594	0	0
2241778	514889	65685	12713	4238	0
2123121	487343	91112	4238	2119	0
2142191	461916	69923	8476	4238	0
2212114	389874	69923	8476	0	0
2190925	489462	78399	10594	2119	0
2165498	502175	63566	8476	0	0
2318058	510651	74161	10594	4238	0
2123121	444965	78399	25427	2119	0
2383743	523364	78399	19070	0	0
2231184	419539	72042	8476	2119	0
2140072	440728	67804	6357	0	0
2125240	461916	57210	4238	0	0
2146428	502175	65685	8476	6357	0
2133715	451322	82636	8476	2119	0
2214233	521245	78399	6357	0	0
2214233	442847	78399	14832	2119	0
2207876	506413	80518	8476	2119	0
2108289	396231	46615	6357	2119	0
2226946	474630	76280	10594	4238	0
2084981	447084	57210	2119	0	0
2220589	411063	63566	8476	0	0
2216352	523364	63566	6357	2119	0
2252373	478868	72042	8476	0	0
2258729	447084	55091	8476	2119	0
2224827	487343	72042	12713	6357	2119
2301107	491581	76280	4238	0	0
2294750	459798	72042	8476	4238	0
2248135	495819	65685	4238	2119	0
2294750	470392	48734	8476	2119	0
2152785	423777	72042	8476	0	0
2237540	466154	63566	14832	6357	0
2207876	449203	67804	6357	0	0
2277799	415301	82636	4238	0	0
2065911	413182	55091	2119	0	0
2224827	464035	63566	0	0	0
2279918	497938	82636	10594	2119	0
2216352	586931	80518	14832	2119	0
2680387	652616	186462	50853	21189	8476
2938891	786106	266979	95350	46615	16951
2729121	637784	192818	63566	31783	14832
2532065	654735	209769	61448	29664	12713
2733359	629308	211888	72042	42378	27545
2549016	618714	184343	63566	36021	19070
2604107	572098	137727	50853	27545	8476
2561730	533959	197056	63566	29664	14832
2608345	584812	112301	33902	23308	8476
2385862	616595	163154	42378	21189	10594
2419764	614476	177986	57210	31783	10594
2534184	603882	144084	40259	27545	6357
2491806	631427	169511	42378	31783	16951
2544778	578455	158916	38140	21189	10594
2512995	642022	165273	42378	25427	4238
2432478	618714	146203	40259	16951	6357
2561730	572098	141965	50853	25427	10594
2341366	555147	120776	29664	14832	8476
2476974	576336	141965	27545	10594	0
2544778	593287	165273	52972	29664	14832
2318058	529721	120776	38140	19070	10594
2483331	578455	133490	42378	14832	4238
2413408	601763	131371	40259	21189	12713
2455785	525483	141965	55091	23308	12713
2462142	519126	114420	21189	14832	6357
2246016	521245	118657	38140	14832	2119
2377387	586931	152560	31783	6357	0
2512995	595406	152560	33902	14832	4238
2502401	550910	154678	33902	21189	8476
2559611	637784	146203	33902	16951	4238
2633772	595406	161035	42378	16951	6357
2661317	644140	186462	61448	40259	12713
2549016	580574	110182	29664	10594	8476
2379506	599644	122895	33902	10594	4238
2623177	627189	105944	21189	10594	4238
2722765	601763	133490	36021	19070	6357
2629534	574217	139846	52972	23308	12713
2646485	656854	120776	25427	12713	10594
2669793	627189	139846	29664	16951	6357
2754548	652616	129252	25427	14832	6357
2782093	665329	161035	46615	21189	4238
2710051	646259	131371	27545	16951	4238
2684625	701350	148322	21189	6357	2119
2771499	663210	150441	44497	14832	8476
2618939	625070	110182	23308	4238	2119
2892275	690756	154678	27545	10594	4238
2858373	616595	114420	25427	14832	0
3030003	620833	103825	36021	19070	6357
2966436	701350	152560	33902	10594	0
2924059	608119	101706	14832	4238	0
2818114	578455	97469	12713	8476	0
2928296	733134	150441	10594	4238	0
2915583	635665	131371	27545	10594	4238
2841422	601763	108063	16951	8476	2119
3017289	728896	141965	19070	4238	4238
3135947	750085	110182	10594	4238	2119
3318171	743728	129252	23308	12713	6357
3142303	667448	133490	21189	4238	0
3570318	682280	118657	31783	23308	12713
3167730	714064	122895	21189	6357	4238
3544891	769155	154678	40259	19070	8476
3087213	714064	122895	29664	8476	0
3214346	694994	127133	14832	4238	0
3227059	705588	125014	23308	12713	4238
3163492	741609	135609	16951	8476	4238
3477087	764917	146203	29664	10594	0
3352073	760679	129252	29664	8476	4238
3269436	688637	114420	21189	8476	2119
3032122	694994	108063	19070	8476	4238
3169849	692875	110182	29664	8476	4238
3282150	633546	141965	23308	6357	4238
3188919	648378	116539	19070	8476	2119
3271555	680161	99588	10594	6357	0
3477087	707707	131371	27545	14832	4238
3254604	692875	137727	19070	10594	4238
3193157	752203	161035	36021	6357	0
3227059	718301	118657	19070	12713	2119
3396569	739490	131371	23308	16951	6357
3116877	694994	122895	19070	8476	0
3352073	783987	110182	10594	6357	2119
3407164	756441	112301	25427	8476	0
3496157	781868	133490	31783	14832	6357
3583031	769155	161035	27545	8476	2119
3712283	834840	135609	19070	10594	4238
3532178	798819	141965	27545	10594	0
3496157	669567	110182	12713	4238	0
3491919	790343	114420	10594	2119	0
3343597	739490	137727	23308	10594	8476
3648717	792462	101706	21189	12713	6357
3434709	694994	97469	8476	2119	0
3407164	745847	95350	12713	8476	6357
3561842	779749	114420	21189	8476	0
3474968	750085	110182	14832	10594	0
3508870	813651	110182	23308	10594	2119
3574556	673805	97469	14832	4238	0
3362667	714064	80518	4238	2119	0
3661430	790343	97469	16951	6357	4238
3458017	786106	112301	12713	2119	2119
3551248	745847	110182	27545	10594	4238
3515227	741609	127133	19070	10594	2119
3977143	853910	99588	14832	4238	2119
3608458	845434	127133	10594	2119	2119
3644479	767036	101706	14832	8476	2119
3701689	845434	146203	16951	2119	0
3553367	694994	78399	0	0	0
3578793	800938	118657	14832	8476	0
3621171	694994	76280	12713	0	0
3578793	735252	95350	12713	6357	0
3718640	788224	122895	25427	8476	2119
3672024	781868	110182	19070	6357	0
3756780	800938	97469	16951	6357	0
3744066	792462	105944	16951	2119	0
3627528	767036	118657	16951	4238	0
3525821	724658	118657	12713	6357	2119
3540653	803057	118657	12713	6357	0
3449542	803057	112301	8476	2119	0
3712283	879336	144084	23308	4238	0
3623290	834840	137727	19070	10594	4238
3599982	714064	103825	12713	6357	0
3727115	781868	103825	12713	6357	4238
3739828	800938	91112	4238	0	0
3816108	788224	103825	25427	8476	2119
3748304	767036	120776	6357	2119	0
3655073	788224	110182	6357	4238	0
3566080	726777	82636	16951	4238	2119
3576675	694994	65685	12713	6357	0
3663549	752203	88993	14832	2119	2119
3650835	769155	116539	19070	2119	0
3839416	811532	116539	8476	0	0
3928409	815770	112301	16951	6357	0
3799157	828483	110182	14832	4238	2119
3714402	684399	93231	6357	2119	0
3820346	777630	105944	21189	6357	2119
3608458	779749	108063	19070	2119	0
3676262	803057	101706	10594	2119	0
3737710	822127	112301	14832	6357	4238
3691094	771273	131371	16951	2119	0
3710164	771273	116539	31783	10594	2119
3898745	817889	114420	14832	6357	2119
3805514	809413	88993	8476	2119	0
3856367	792462	74161	12713	2119	0
3847892	783987	116539	6357	0	0
3970787	906882	99588	4238	0	0
3850010	800938	99588	12713	2119	0
3816108	830602	141965	12713	4238	0
3915696	800938	93231	14832	4238	2119
3964430	815770	103825	12713	6357	0
4021640	872980	133490	14832	2119	0
3949598	856029	127133	10594	0	0
3947479	843315	93231	16951	6357	0
3951717	741609	125014	6357	0	0
3847892	728896	95350	4238	0	0
3958073	839078	103825	14832	6357	0
3850010	798819	69923	8476	0	0
3951717	803057	125014	14832	6357	2119
3989857	839078	93231	10594	2119	0
3788563	786106	93231	4238	0	0
3873318	790343	65685	10594	2119	0
3888150	720420	80518	14832	6357	2119
3837297	769155	91112	2119	0	0
4008927	824245	93231	12713	2119	0
3782206	847553	103825	6357	2119	0
3845773	862385	129252	16951	6357	2119
3902982	826364	101706	14832	0	0
3922052	822127	133490	16951	4238	0
3816108	722539	110182	10594	4238	2119
3854248	745847	86874	12713	4238	2119
3807633	794581	122895	10594	4238	0
3826703	805176	82636	8476	2119	0
3820346	788224	84755	6357	0	0
3879675	822127	95350	12713	2119	0
3807633	786106	105944	10594	4238	2119
4116990	839078	82636	4238	0	0
3748304	756441	101706	6357	2119	0
4142416	805176	110182	6357	4238	2119
4123346	853910	93231	10594	2119	0
4015283	839078	82636	12713	6357	0
4110633	858148	72042	2119	0	0
3788563	741609	76280	8476	2119	0
3907220	864504	103825	4238	2119	2119
3869080	767036	86874	4238	2119	0
3905101	775511	76280	8476	0	0
3881794	752203	55091	6357	2119	0
3951717	820008	97469	8476	2119	0
3924171	798819	99588	6357	0	0
3941122	826364	108063	2119	0	0
4165724	887812	82636	8476	2119	0
3966549	796700	74161	4238	0	0
3852129	864504	112301	6357	0	0
4205983	767036	74161	4238	0	0
3958073	815770	78399	8476	2119	0
3862724	743728	103825	12713	0	0
4006808	847553	110182	6357	0	0
4131822	798819	80518	4238	2119	0
4244123	845434	103825	6357	4238	0
4040710	758560	93231	2119	0	0
3966549	845434	95350	8476	4238	0
4017402	817889	125014	10594	2119	0
3881794	800938	80518	8476	2119	0
4112752	803057	88993	8476	6357	0
3900864	817889	84755	8476	4238	0
4038591	807294	88993	6357	2119	0
3890269	813651	99588	8476	0	0
3869080	707707	63566	2119	2119	0
3970787	832721	86874	12713	4238	2119
4021640	883574	122895	8476	0	0
3924171	722539	86874	2119	0	0
3919934	762798	84755	6357	0	0
4074612	824245	74161	8476	2119	2119
3955955	885693	88993	10594	0	0
4019521	752203	93231	6357	2119	0
3953836	731015	93231	12713	4238	0
3892388	777630	76280	6357	2119	0
3953836	860266	110182	8476	0	0
3964430	773392	78399	2119	0	0
3981381	747966	65685	6357	0	0
3987738	847553	78399	6357	2119	2119
3915696	794581	67804	4238	2119	0
3991976	794581	86874	6357	2119	0
4049185	834840	86874	10594	2119	0
4055542	847553	99588	4238	2119	0
4178437	877218	86874	2119	2119	0
3883913	811532	69923	2119	0	0
3966549	786106	88993	8476	2119	0
3928409	902644	101706	4238	0	0
3945360	826364	76280	4238	2119	0
3998332	853910	84755	8476	0	0
4104276	771273	80518	8476	6357	0
4199626	872980	80518	6357	0	0
4112752	807294	74161	6357	0	0
